STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BA,Bosnia and Herzegovina,2022,,22.9,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BA,Bosnia and Herzegovina,2023,,22.9,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BA,Bosnia and Herzegovina,2024,,22.3,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2004,,38.7,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2005,,36.3,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2006,,35.7,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2007,,34.8,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2008,,33.6,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2009,,32.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2010,,32.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2011,,31.9,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2012,,31.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2013,,30.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2014,,29.5,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2015,,28.7,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2016,,28.2,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2017,,27.2,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2018,,26.3,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2019,,25.9,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2020,,25.0,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2021,,22.7,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2022,,21.7,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2023,,22.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BE,Belgium,2024,,22.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2004,,34.3,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2005,,33.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2006,,30.6,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2007,,28.7,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2008,,28.3,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2009,,27.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2010,,25.1,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2011,,24.0,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2012,,23.0,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2013,,22.1,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2014,,22.6,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2015,,22.2,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2016,,21.9,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2017,,21.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2018,,21.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2019,,21.5,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2020,,21.0,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2021,,20.5,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2022,,19.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2023,,18.7,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,BG,Bulgaria,2024,,17.2,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2004,,24.1,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2005,,23.7,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2006,,21.9,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2007,,21.1,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2008,,20.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2009,,20.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2010,,21.3,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2011,,21.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2012,,20.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2013,,19.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2014,,18.7,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2015,,18.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2016,,18.2,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2017,,17.8,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2018,,17.2,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2019,,16.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2020,,16.2,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2021,,17.5,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2022,,18.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2023,,18.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CH,Switzerland,2024,,18.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2004,,39.2,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2005,,36.2,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2006,,33.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2007,,31.1,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2008,,30.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2009,,31.2,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2010,,29.6,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2011,,28.3,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2012,,26.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2013,,25.4,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2014,,26.1,,b,break in time series,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2015,,25.5,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2016,,24.0,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2017,,22.9,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2018,,21.9,,,,,
dataflow,ESTAT:EDAT_LFS_9903(1.0),Population in private households by educational attainment level (%),A,Annual,PC,Percentage,T,Total,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y15-64,From 15 to 64 years,CY,Cyprus,2019,,21.0,,,,,
